l,t,freq,S21
1.1,0.3,5.7,-0.169781479
1.1,0.3,5.8,-0.17495933
1.1,0.3,5.9,-0.180205425
1.1,0.3,6,-0.185519275
1.1,0.3,6.1,-0.1909004
1.1,0.3,6.2,-0.19634833
1.1,0.3,6.3,-0.201862606
1.1,0.3,6.4,-0.20744278
1.1,0.3,6.5,-0.213088416
1.1,0.3,6.6,-0.218799088
1.1,0.3,6.7,-0.224574384
1.1,0.3,6.8,-0.230413904
1.1,0.3,6.9,-0.236317257
1.1,0.3,7,-0.242284068
1.1,0.3,7.1,-0.248313971
1.1,0.3,7.2,-0.254406612
1.1,0.3,7.3,-0.260561646
1.1,0.3,7.4,-0.266778741
1.1,0.3,7.5,-0.273057571
1.1,0.3,7.6,-0.279397822
1.1,0.3,7.7,-0.285799183
1.1,0.3,7.8,-0.292261354
1.1,0.3,7.9,-0.298784038
1.1,0.3,8,-0.30536694
1.1,0.3,8.1,-0.31200977
1.1,0.3,8.2,-0.31871224
1.1,0.3,8.3,-0.325474058
1.1,0.3,8.4,-0.332294932
1.1,0.3,8.5,-0.339174566
1.1,0.3,8.6,-0.346112658
1.1,0.3,8.7,-0.353108899
1.1,0.3,8.8,-0.360162968
1.1,0.3,8.9,-0.367274535
1.1,0.3,9,-0.374443256
1.1,0.3,9.1,-0.381668771
1.1,0.3,9.2,-0.388950703
1.1,0.3,9.3,-0.396288654
1.1,0.3,9.4,-0.403682207
1.1,0.3,9.5,-0.411130919
1.1,0.3,9.6,-0.418634323
1.1,0.3,9.7,-0.426191926
1.1,0.3,9.8,-0.433803203
1.1,0.3,9.9,-0.441467601
1.1,0.3,10,-0.449184536
1.1,0.3,10.1,-0.456953387
1.1,0.3,10.2,-0.464773501
1.1,0.3,10.3,-0.472644191
1.1,0.3,10.4,-0.480564732
1.1,0.3,10.5,-0.488534361
1.1,0.3,10.6,-0.496552281
1.1,0.3,10.7,-0.504617655
1.1,0.3,10.8,-0.512729613
1.1,0.3,10.9,-0.520887245
1.1,0.3,11,-0.529089607
1.1,0.3,11.1,-0.537335721
1.1,0.3,11.2,-0.545624576
1.1,0.3,11.3,-0.553955131
1.1,0.3,11.4,-0.562326313
1.1,0.3,11.5,-0.570737027
